Anio,Total
1950,3123095
1951,3206515
1952,3293440
1953,3383981
1954,3478260
1955,3576393
1956,3678500
1957,3784721
1958,3895164
1959,4009905
1960,4128880
1961,4251911
1962,4378604
1963,4508444
1964,4640795
1965,4774984
1966,4910790
1967,5047435
1968,5184095
1969,5320100
1970,5455197
1971,5589563
1972,5723759
1973,5858466
1974,5994300
1975,6131151
1976,6269983
1977,6412667
1978,6561919
1979,6720582
1980,6890346
1981,7071186
1982,7262658
1983,7462585
1984,7669863
1985,7884034
1986,8104921
1987,8332446
1988,8566331
1989,8805995
1990,9050115
1991,9296814
1992,9544055
1993,9790619
1994,10037522
1995,10286786
1996,10536942
1997,10788362
1998,11046215
1999,11311078
2000,11589761
2001,11871565
2002,12147518
2003,12415334
2004,12682108
2005,12948292
2006,13213330
2007,13477017
2008,13739299
2009,14000190
2010,14259687
2011,14521515
2012,14781942
2013,15043981
2014,15306316
2015,15567419
2016,15827690
2017,16087418
2018,16346950
2019,16604026
2020,16858333
2021,17109746
2022,17357886
2023,17602431
2024,17843132
2025,18079810
2026,18312373
2027,18540770
2028,18764984
2029,18985066
2030,19201062
2031,19413049
2032,19621108
2033,19825325
2034,20025745
2035,20222438
2036,20415445
2037,20604788
2038,20790470
2039,20972450
2040,21150662
2041,21325024
2042,21495449
2043,21661826
2044,21824043
2045,21981979
2046,22135523
2047,22284549
2048,22428939
2049,22568564
2050,22703298
